04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
607;Physics for Scientists & Engineers: Study guide and StudentSolutions Manual - Volume 1;Book ;ISBN: 0030156645ISBN_13: 9780030156649;PH1873B1;1;Main
608;Elementary Applied Partial Differential Equations With FourierSeries and Boundary Value Problems (3rd Edition);Book ;ISBN: 013263807XISBN_13: 9780132638074;MA 6027B3;1;Main
609;The Statistical Exorcist: Dispelling Statistics Anxiety (PopularStatistics);Book ;ISBN: 0824772253ISBN_13: 9780824772253;MA 6086B3;1;Main
610;University Physics ;Book ;ISBN: 9750503767ISBN_13: 9780471006893;DM27122B9;1;Main
611;Neutrino Astrophysics ;Book ;ISBN: 052137975XISBN_13: 9780521379755;PH1270B1;1;Main
612;Turning the World Inside Out and 174 Other Simple PhysicsDemonstrations;Book ;ISBN: 0691023956ISBN_13: 9780691023953;DM27127B9;1;Main
615;Relativistic Quantum Theory (Course of Theoretical PhysicsVolume 4, Part 2) (English and Russian Edition);Book ;ISBN: 0080171753ISBN_13: 9780080171753;DM27093B9;1;Main
616;Initiation Ö la physique quantique : La matiäre et sesphÇnomänes;Book ;ISBN: 271175295XISBN_13: 9782711752959;DM27035B9;1;Main
617;Physics for Scientists and Engineers With Modern Physics(Saunders golden sunburst series);Book ;ISBN: 0030156548ISBN_13: 9780030156540;PH1874B1;1;Main
618;The Australian Health Care System ;Book ;ISBN: 0195506308ISBN_13: 9780195506303;SM5009B2;1;Main
619;ProblÇmes de physique capes 1965 Ö 1979 ;Book ;ISBN_13: 9782711742158 ;DM27070B9;1;Main
620;THE HARTREE-FOCK METHOD FOR ATOMS ;Book ;ISBN: 047125990X ;DM27105B9;1;Main
621;Topics In Advanced Quantum Mechanics ;Book ;ISBN: 0201508206ISBN_13: 9780201508208;DM27117B9;1;Main
622;Physlet Physics: Interactive Illustrations, Explorations andProblems for Introductory Physics;Book ;ISBN: 0131019694ISBN_13: 9780131019690;PH1876B1;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
623;Physlet Physics: Interactive Illustrations, Explorations andProblems for Introductory Physics;Book ;ISBN: 0131019694ISBN_13: 9780131019690;PH1876B1;2;Main
624;Fundamentals of Physics: Extended Edition ;Book ;ISBN: 0471600121ISBN_13: 9780471600121;PH1860B1;1;Main
625;5,600 Jokes for All Occasions ;Book ;ISBN: 0517320916ISBN_13: 9780517320914;LA 17002B5;1;Main
626;Fundamentals of Physics + Extended Chapters 4e TB ;Book ;ISBN: 0471588792ISBN_13: 9780471588795;PH1859B1;1;Main
627;Instructor'S Manual to Accompany Fundamentals of Physics4ed (Including Extended Chapters) (Manual);Book ;ISBN: 0471588776ISBN_13: 9780471588771;PH 601B1;1;Main
631;Elastic and Diffractive Scattering - Proceedings of theInternational Conference on Vth Blois Workshop;Book ;ISBN: 9810215738ISBN_13: 9789810215736;LA 17014B5;1;Main
632;Introductory Nuclear Physics ;Book ;ISBN: 0134911687ISBN_13: 9780134911687;PH1266B1;1;Main
633;Compact Stars: The Quest for New States of Dense Matter -Proceedings of the Kias-Apctp International Symposium onAstro-Hadron Physics;Book ;ISBN: 9812389547ISBN_13: 9789812389541;PH1255B1;1;Main
635;Nuclear Physics with Heavy Ions and Mesons Vol. 1 ;Book ;ISBN: 0444851224ISBN_13: 9780444851222;PH1272B1;1;Main
636;Theoretical Nuclear and Subnuclear Physics (Oxford Studies inNuclear Physics);Book ;ISBN: 0195072146ISBN_13: 9780195072143;PH1288B1;1;Main
641;Black Holes, White Dwarfs and Neutron Stars: The Physics ofCompact Objects;Book ;ISBN: 0471873179ISBN_13: 9780471873174;PH1253B1;1;Main
642;Complex Variables and Applications ;Book ;ISBN: 0079121470ISBN_13: 9780079121479;MA 6017B3;1;Main
643;Formation and Evolution of Black Holes in the Galaxy: SelectedPapers with Commentary (World Scientific 20th CenturyPhysics);Book ;ISBN: 9812382119ISBN_13: 9789812382115;HP20010B8;1;Main
647;Nuclear theory ;Book ;ISBN: 0444107908 ;DM27059B9;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
648;Tutorials in Introductory Physics ;Book ;ISBN: 0139546294ISBN_13: 9780139546297;DM27147B9;1;Main
649;Feynman Lectures on Gravitation ;Book ;ISBN: 0201627345ISBN_13: 9780201627343;PH1858B1;1;Main
650;Physics by Inquiry: An Introduction to Physics and the PhysicalSciences, Vol. 1;Book ;ISBN: 0471144401ISBN_13: 9780471144403;DM27063B9;1;Main
651;Physics by Inquiry: An Introduction to Physics and the PhysicalSciences, Vol. 2;Book ;ISBN: 047114441XISBN_13: 9780471144410;DM27064B9;1;Main
652;College Physics ;Book ;ISBN: 0071214623ISBN_13: 9780071214629;PH1072B1;1;Main
653;Topics in Nuclear Physics I: A Comprehensive Review of RecentDevelopments (Lecture Notes in Physics (144));Book ;ISBN: 3540108513ISBN_13: 9783540108511;PH1289B1;1;Main
654;Nuclear Spectroscopy: Lecture Notes of the Workshop Held atGull Lake, Michigan August 27?September 7, 1979 (LectureNotes in Physics (119));Book ;ISBN: 3540099700ISBN_13: 9783540099703;PH1273B1;1;Main
655;Time Dependent Hartree-Fock and Beyond: Proceedings of theInternational Symposium Held in Bad Honnef, Germany, June7?11,1982 (Lecture Notes in Physics (171));Book ;ISBN: 3540119507ISBN_13: 9783540119500;PH1057B1;1;Main
656;Photoelectron Spectroscopy ;Book ;ISBN: 3540418024ISBN_13: 9783540418023;PH1307B1;1;Main
657;Physical Chemistry (Benjamin/Cummings Series in the LifeSciences);Book ;ISBN: 0805345604ISBN_13: 9780805345605;PH 553B1;1;Main
658;Hans Bethe and His Physics ;Book ;ISBN: 9812566090ISBN_13: 9789812566096;HP20011B8;1;Main
659;Understanding Quantum Mechanics ;Book ;ISBN: 0691004358ISBN_13: 9780691004358;DM27119B9;1;Main
660;SUPERSTRINGS and the Search for The Theory of Everything ;Book ;ISBN_13: 1806944014955 ;DM27138B9;1;Main
661;Superstring Theory: Volume 1, Introduction (CambridgeMonographs on Mathematical Physics) (v. 1);Book ;ISBN: 0521323843ISBN_13: 9780521323840;DM27136B9;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
662;Modern Computational Methods (Series in ComputationalMethods and Physical Processes in Mechanics and ThermalSciences);Book ;ISBN: 1560324686ISBN_13: 9781560324683;PH1867B1;1;Main
663;Analysis of Census Microdata ;Book ;ISBN: 0340692286ISBN_13: 9780340692288;MA 6013B3;1;Main
664;The Kondo Problem to Heavy Fermions (Cambridge Studies inMagnetism);Book ;ISBN: 0521599474ISBN_13: 9780521599474;DM27106B9;1;Main
665;Low Energy Effective Theories and QCD ;Book ;ISBN_13: 9788985670104 ;DM27124B9;1;Main
666;Introductory Quantum Mechanics (3rd Edition) ;Book ;ISBN: 0201878798ISBN_13: 9780201878790;PH1408B1;1;Main
667;QUANTUM PHYSICS ;Book ;ISBN_13: 9780471857372 ;DM27085B9;2;Main
668;Practical Physics ;Book ;ISBN: 0521270952ISBN_13: 9780521270953;PH 902B1;1;Main
669;PROCEEDING OF THE INTERNATIONAL WORKSHOP QUARKNUCLEAR PHYSICS;Book ;ISBN: 8973162357 ;DM27073B9;1;Main
670;Fundamentals of Physics, , Solutions Manual ;Book ;ISBN: 0471581062ISBN_13: 9780471581062;PH1070B1;1;Main
671;Apctp Workshop on Astro-Hadron Physics: Properties ofHadrons in Matter : In Honor of Prof. Mannque Rho's 60thBirthday : Hoam Convention Center Seoul National UniversitySeoul, Korea octobe;Book ;ISBN: 9810237685ISBN_13: 9789810237684;DM27016B9;1;Main
672;Problems and Solutions on Quantum Mechanics (MajorAmerican Universities PH.D. Qualifying Questions and S);Book ;ISBN: 9810231334ISBN_13: 9789810231330;DM27071B9;1;Main
673;Encyclopaedia Britannica Almanac 2003 (EncyclopediaBritannica Almanac);Book ;ISBN: 0852299230ISBN_13: 9780852299234;EC23001B10;1;Main
674;PrÇcis de recherche opÇrationnelle - 7e Çd. - MÇthodes etexercices d'application: MÇthodes et exercices d'application(Sciences Sup) (French Edition);Book ;ISBN: 2100706128ISBN_13: 9782100706129;GI 12016B4;1;Main
675;Les Thanatonautes (Le Livre de Poche) (French Edition) ;Book ;ISBN: 225313922XISBN_13: 9782253139225;FR16138B5;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
676;Reflechissez Et Devenez Riche (Bien Etre) (French Edition) ;Book ;ISBN: 2290028827ISBN_13: 9782290028827;DP19067B7;1;Main
677;Les Identites Meurtrieres (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR16133B5;8;Main
678;Le quadrant du cashflow (Nouvelle Çdition ) (French Edition) ;Book ;ISBN: 2892258588ISBN_13: 9782892258585;DP19041B7;1;Main
679;Lectures On Phase Transitions And The Renormalization Group(Frontiers in Physics);Book ;ISBN: 0201554097ISBN_13: 9780201554090;DM27044B9;2;Main
680;First Course in Differential Equations with ModelingApplications;Book ;ISBN: 0534955746ISBN_13: 9780534955748;MA 6033B3;1;Main
681;Physics for Scientists and Engineers ;Book ;ISBN: 0534423981ISBN_13: 9780534423988;DM27066B9;1;Main
682;The Nuclear Age ;Book ;ISBN: 2851084399ISBN_13: 9782851084392;HP20066B8;1;Main
683;Physics for Scientists and Engineers, Standard Edition,Chapters 1-39;Book ;ISBN: 0867204796ISBN_13: 9780867204797;DM27141B9;1;Main
684;Physics: Classical and Modern: Instructor's Manual/test Bank ;Book ;ISBN: 0070337179ISBN_13: 9780070337176;DM27065B9;1;Main
685;Quantum Physics Solutions Manual, 2nd Edition ;Book ;ISBN: 0471143189ISBN_13: 9780471143185;PH1424B1;1;Main
686;MULTIWAY CONTINGENCY TABLES ANALYSIS for the SOCIALSCIENCES;Book ;ISBN_13: 4254904529952 ;SH18032B6;1;Main
687;Intermediate Energy Nuclear Physics and Chiral Theory ;Book ;ISBN_13: 9788985670210 ;PH1264B1;1;Main
688;Classical Dynamics of Particles and Systems, 4th Edition ;Book ;ISBN: 0030973023ISBN_13: 9780030973024;DM27139B9;1;Main
689;Hadrons And Nuclei (Hb) ;Book ;ISBN: 0735400377ISBN_13: 9780735400375;PH1261B1;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
690;Issues and challenges of public health in the 21st Century (Newmillenium series);Book ;ISBN: 9679940942ISBN_13: 9789679940947;LA 17027B5;1;Main
691;Modern Physics, International Edition 3e by Raymond A.Serway, James Madison, Clement J. Moses and Curt A. Moyer;Book ;ISBN: 0534406246ISBN_13: 9780534406240;PH 604B1;1;Main
692;Gauge Theory Of Weak And Electromagnetic Interactions ;Book ;ISBN: 9971830221ISBN_13: 9789971830229;PH1304B1;1;Main
693;Leptons and Quarks ;Book ;ISBN: 0444869247ISBN_13: 9780444869241;PH1268B1;1;Main
694;SELECTED TOPICS IN NUCLEAR PHYSICS ;Book ;PH1282B1;1;Main;
695;Thermodynamics ;Book ;PH 263B1;1;Main;
696;Principales of physical Cosmology ;Book ;ISBN_13: 4561700032501 ;PH 606B1;1;Main
697;COURS DE PHYSIQUE GENERALE PHYSIQUE ATOMIQUE ETNUCLEAIRE;Book ;DM27023B9;1;Main;
698;êLECTRODYNAMIQUE DES MILIEUX CONTINUS ;Book ;DM27131B9;1;Main;
699;MONOPOLES, SOLITONS AND NONLINEAR PHENOMENA ;Book ;PH 605B1;1;Main;
700;Nuclear Theory : Pairing Force Correlations and CollectiveMotion;Book ;DM27060B9;1;Main;
701;Nuclei And Particles: An Introduction To Nuclear AndSubnuclear Physics;Book ;ISBN: 0805386017ISBN_13: 9780805386011;DM27140B9;1;Main
702;Recent Progress in Many-Body Theories: Proceedings of theSecond International Conference Held at Oaxtepec, Mexico,January 12?17, 1981 (Lecture Notes in Physics (142));Book ;ISBN: 354010710XISBN_13: 9783540107101;PH1281B1;1;Main
703;CURRENT ALGEBRAS and Applications to Particle Physics ;Book ;MA6026B3;1;Main;
704;Teaching Health Statistics: Lesson and Seminar Outlines ;Book ;ISBN: 9241545186ISBN_13: 9789241545181;MA 6099B3;1;Main
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
705;Recent Directions in Particle Theory: From Superstrings andBlack Holes to the Std Model (Tasi 1992) - Proceedings of the1992 Theoretical Advanced Study Institute in ElementaryParticle Physics;Book ;ISBN: 981021233XISBN_13: 9789810212339;DM27088B9;1;Main
706;Progress in Nuclear Physics ;Book ;ISBN: 0444016031ISBN_13: 9780444016034;PH1278B1;1;Main
? Page 7 of 20, showing 100 records out of 1942 total, starting on record 601, ending on 700;;;;;;
;;;;;;
04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:7 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
707;Condensed Matter Physics (Frontiers in Physics) ;Book ;ISBN: 0805366113ISBN_13: 9780805366112;PH 1402B1;1;Main
708;Nuclear-Astro Physics and Nuclear star ;Book ;PH 1276B1;1;Main;
709;METHODS OF MATHEMATECAL PHYSICS - VOLUME 2 ;Book ;ISBN: 47117985X ;DM 27128B9;1;Main
710;Mathematical methods in the physical sciences ;Book ;ISBN: 0471044091 ;PH 603B1;1;Main
711;Chiral Nuclear Dynamics ;Book ;ISBN: 9810210000ISBN_13: 9789810210007;PH 1254B1;1;Main
712;NUCLEAR STRUCTURE, Princeton ;Book ;PH 1275B1;1;Main;
713;Quarks and Nuclei (International Review of NuclearPhysics);Book ;ISBN: 9971966611ISBN_13: 9789971966614;DM 27087B9;1;Main
714;Hartree-Fock-Slater Method for Materials Science ;Book ;PH 751B1;1;Main;
715;Case Studies in Mathematical Modelling ;Book ;ISBN: 0470271779ISBN_13: 9780470271773;MA 6015B3;1;Main
716;Introduction to Chiral Perturbation Theory ;Book ;DM 27037B9;1;Main;
717;Quantum Many-particle Systems (Frontiers in Physics) ;Book ;ISBN: 0201125935ISBN_13: 9780201125931;PH 1419B1;1;Main
718;Problems of Atomic Dynamics ;Book ;PH 1416B1;1;Main;
719;Course of Theoretical Physics: Physical Kinetics (Course ofTheorectical Physics Series: Vol 10);Book ;ISBN: 0080206417ISBN_13: 9780080206417;PH 1855B1;1;Main
720;Quantum Field Theory ;Book ;ISBN: 0070320713ISBN_13: 9780070320710;DM 27080B9;1;Main
721;THEORIE QUANTIQUE RELATIVISTE - Deuxiäme Partie ;Book ;DM 27114B9;1;Main;
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:8 1/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
722;Nuclear Physics with Heavy Ions and Mesons Vol. 1 ;Book ;ISBN: 0444851224ISBN_13: 9780444851222;PH 1272B1;2;Main
723;Structure of the Human Brain Edition ;Book ;ISBN: 0195020715ISBN_13: 9780195020717;SH 18038B6;1;Main
724;microscopique au macroscopique (Du) (vol - 2) (COURS X) ;Book ;ISBN: 2729890017ISBN_13: 9782729890018;DM 27144B9;1;Main
725;SUBATOMIC PHYSICS : NUCLEI AND PARTICLES - Volume 1 ;Book ;DM 27101B9;1;Main;
726;Statistical Mechanics of Quarks and Hadrons ;Book ;ISBN: 0444862277ISBN_13: 9780444862273;PH 1428B1;1;Main
727;SUBATOMIC PHYSICS : NUCLEI AND PARTICLES - Volume 2 ;Book ;DM 27102B9;1;Main;
728;ANNUAIRE STATISTIQUE DU MAROC 1990 ;Book ;HP 20002B8;1;Main;
729;ANGULAR MOMENTUM IN QUANTUM MECHANICS ;Book ;DM 27015B9;1;Main;
730;MECHANICS, Berkeley Physics courses - Volume 1 ;Book ;PH 260B1;1;Main;
731;microscopique au macroscopique (Du) (vol - 1) (COURS X) ;Book ;ISBN: 2729890009 ;DM 27145B9;1;Main
732;GAUGE THEORIES in High Energy Physics - PART 2 ;Book ;DM 27032B9;1;Main;
733;GRADUATE SCHOOL OF PUBLIC HEALTH, ZagaBLOCKSTEIN, Ph.D.;Book ;SM 5003B2;1;Main;
734;ADVANCED ORGANIC CHEMISTRY ;Book ;CH 2001B2;1;Main;
735;Nuclear interactions ;Book ;1;Main;;
736;INTERMEDIATE QUANTUM MECHANICS ;Book ;DM 27036B9;1;Main;
737;SELECTED PROBLEMS IN QUANTUM MECHANICS ;Book ;DM 27096B9;1;Main;
738;QUANTUM MECHANICS : Symmetries ;Book ;PH 1420B1;1;Main;
739;INTERNATIONAL SERIES IN PURE AND APPLIED PHYSICS ;Book ;PH 901B1;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:8 2/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
740;DYNAMICS OF THE STANDARD MODEL ;Book ;PH 1256B1;1;Main;
741;Selected topics in conformal field theory and statisticalmechanics;Book ;PH 1803B1;1;Main;
742;Qualitative Methods in Quantum Theory ;Book ;DM 27075B9;1;Main;
743;MATHEMATICAL ANALYSIS : A MODERN APPROACH TOADVANCED CALCULUS;Book ;MA 6050B3;1;Main;
743;Relativistic Quantum Fields ;Book ;DM 27089B9;1;Main;
744;INTRODUCTION TO FIELD THEORY AND DISPERSIONRELATIONS;Book ;DM 27038B9;1;Main;
745;COMPLEX ANALYSIS ;Book ;MA 6016B3;1;Main;
746;THE STRUCTURE OF NUCLEI ;Book ;DM 27109B9;1;Main;
747;RECUEIL D'EXERCICES DE GEOMETRIE DIFFERENTIELLE ;Book ;MA 6076B3;1;Main;
748;SKYRMIONS AND ANOMALIES ;Book ;DM 27097B9;1;Main;
749;ELECTRON SCATTERING FROM COMPLEX NUCLEI- PART A ;Book ;PH 1257B1;1;Main;
750;THE MANY-BODY PROBLEM ;Book ;DM 27126B9;1;Main;
751;CLASSICAL ELECTRODYNAMICS ;Book ;DM 27019B9;1;Main;
752;Introduction to Modern Physics ;Book ;PH 602B1;1;Main;
753;STATISTICAL MECHANICS : NEW CONCEPTS, NEWPROBLEMS, NEW APPLICATIONS;Book ;DM 27100B9;1;Main;
754;ISOSPIN IN NUCLEAR PHYSICS ;Book ;DM 27043B9;1;Main;
755;FUNDAMENTALS OF STATISTICAL AND THERMAL PHYSICS ;Book ;PH 1801B1;1;Main;
756;Mathematical Foundations of Quantum Mechanics ;Book ;PH 1435B1;1;Main;
757;SPECIAL FUNCTIONS : A GROUP THEORETIC APPROACH ;Book ;MA 6077B3;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:8 3/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
758;Concepts of Particle Physics- Volume 2 ;Book ;ISBN: 0195033930 ;DM 27133B9;1;Main
759;THE THEORY OF GROUPS AND QUANTUM MECHANICS ;Book ;DM 27111B9;1;Main;
760;Fundamentals in Nuclear Theory ;Book ;DM 27028B9;1;Main;
761;MESONS IN NUCLEI- Volume 2 ;Book ;DM 27050B9;1;Main;
762;Particle Physics and Introduction to Field Theory ;Book ;PH 1411B1;1;Main;
763;QUANTUM EFFECTS IN STRONG EXTERNAL FIELDS ;Book ;DM 27078B9;1;Main;
764;STATISTICAL MECHANICS ;Book ;PH 268B1;1;Main;
765;Problämes de mÇcanique quantique ;Book ;PH 1878B1;1;Main;
766;A HILBERT SPACE PROBLEM BOOK ;Book ;MA 6001B3;1;Main;
767;THE QUANTUM THEORY OF RADIATION ;Book ;PH 1431B1;1;Main;
768;SYMMETRY GROUPS IN NUCLEAR AND PARTICLE PHYSICS ;Book ;PH 1286B1;1;Main;
769;LANDAU FERMI-LIQUID THEORY Concepts andApplications;Book ;PH 1267B1;1;Main;
770;INTRODUCTION TO MODERN PHYSICS ;Book ;PH 1069B1;1;Main;
771;UNIVERSITY OF CHICAGO GRADUATE PROBLEMS INPHYSICS With Solutions;Book ;DM 27121B9;1;Main;
772;Introduction to Solid State Physics- THIRD EDITION ;Book ;PH 1407B1;1;Main;
773;QUANTUM ELECTRODYNAMICS ;Book ;DM 27079B9;1;Main;
774;GAUGE FIELDS ;Book ;DM 27142B9;1;Main;
775;PROBLEMS IN QUANTUM MECHANICS ;Book ;DM 27072B9;1;Main;
776;PHYSIQUE THEORIQUE ET ASTROPHYSIQUE ;Book ;DM 27068B9;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:8 4/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
777;NUCLEAR STRUCTURE - Volume 1 ;Book ;DM 27058B9;1;Main;
778;Advance in Nuclear Physics volume 13 ;Book ;DM 27001B9;1;Main;
779;NUCLEAR STRUCTURE - Volume 2 ;Book ;PH 1274B1;1;Main;
780;Advance in Nuclear Physics volume 14 ;Book ;DM 27002B9;1;Main;
781;Theory of Complex Nuclei ;Book ;PH 1290B1;1;Main;
782;Advance in Nuclear Physics volume 15 ;Book ;DM 27003B9;1;Main;
783;ANALYSE NUMERIQUE 3 ItÇrations et approximations ;Book ;ISBN: 2705614212 ;MA 6009B3;1;Main
784;MESONS IN NUCLEI VOLUME 1 ;Book ;DM 27049B9;1;Main;
784;MESONS IN NUCLEARS VOL 1 ;Book ;1;Main;;
785;MESONS IN NUCLEI - Volume 3 ;Book ;DM 27048B9;1;Main;
786;Scattering Theory : The Quantum Theory of NonrelativisticCollisions;Book ;DM 27095B9;1;Main;
787;TENSOR ANALYSIS ;Book ;DM 27104B9;1;Main;
788;electricity and magnetism ;Book ;PH 1315B1;1;Main;
789;FUNDAMENTAL PARTICLES ;Book ;DM 27134B9;1;Main;
790;ELEMENTARY PARTICLE PHYSICS ;Book ;PH 1404B1;1;Main;
791;Gauge Field Theories ;Book ;DM 27030B9;1;Main;
792;Progress of Theoretical Physics Supplement ;Book ;DM 27074B9;1;Main;
793;LECTURES ON THE THEORY OF THE NUCLEUS ;Book ;ISBN: 0080178766 ;DM 27146B9;1;Main
794;QUANTUM MECHANICS: An Introduction With a Forewordby D.A. Bromley;Book ;PH 1422B1;1;Main;
? 04/06/2025 23:50 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:8 5/6;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
795;LECTURES ON THE THEORY OF THE NUCLEUS ;Book ;ISBN: 0080178766 ;DM 27146B9;2;Main
796;Introduction to nuclear physics ;Book ;DM 27039B9;1;Main;
797;Group Theory and Chemistry ;Book ;CH 2003B2;1;Main;
798;statistical physics, berkeley physics course-volume 5 ;Book ;PH 1804B1;1;Main;
799;INTRODUCTORY COMPLEX ANALYSIS ;Book ;MA 6046B3;1;Main;
800;Elements of Nuclei Many-Body Physics with The StrongInteraction;Book ;DM 27027B9;1;Main;
801;Solutions Manual to Accompany : PHYSICAL CHEMISTRY 1 ;Book ;PH 554B1;1;Main;
802;The Quantum Mechanical Three-Body Problem ;Book ;PH 1430B1;1;Main;
